Index,Id,PublishedOn,OldTitle,NewTitle,NewDescription
207,c127d4a1b258,2008-08-12,"The Rendering Pipeline Became More Complex. Then Users Paid the Price",,
208,eaf0570efd53,2008-08-21,"Can CSS Media Queries Simplify Front-End Work?",,
209,19cd2b0cd26a,2008-08-28,"CSS Container Queries Won the Argument Site Performance. Here Is What Happened",,
210,17003581079d,2008-09-12,"Real-Time Communication Never Broke New Ground Site Performance. Here Is Why",,
211,b7af8459c9c5,2008-09-21,"JavaScript Frameworks Still Unites After All These Years",,
212,e60d4a1f03ce,2008-09-29,"The Early Responsive Design That Evolved Front-End Work",,
213,b13dcf48dc37,2008-10-12,"Static Site Builders Narrowed and The Ecosystem Shifted",,
214,3e02ba034955,2008-10-21,"Why The Style System Evolves More Than Web Development",,
215,28d466b1c177,2008-10-28,"JavaScript Bundles Matters, but at What Cost?",,
216,35d79030b64a,2008-11-12,"The Long Web Standards Bodies That Automated What Was Manual the Browser Platform",,
217,df5bb39f42e2,2008-11-21,"Open Source Communities Diverged. Then What Developers Gained",,
218,e5a33cbfdeec,2008-11-28,"CSS Specifications Evolves, but at What Cost?",,
219,34a94390b003,2008-12-12,"When Browser Caching Became More Complex, It Changed Everything",,
220,bf8dc5d7111a,2008-12-21,"Static Site Generation at a Crossroads: Team Productivity or Innovation Accelerated",,
221,5ad6db0a6d90,2008-12-28,"Why Web Components Evolves More Than Web Development",,
222,fa3b1d9c3d17,2009-01-06,"API Design at a Crossroads: Front-End Work or The Ecosystem Shifted",,
223,465a00ac7b2b,2009-01-15,"Authentication Flows Went Mainstream and The Community Divided",,
224,2b2cc4106d85,2009-01-24,"JavaScript Bundles Expanded. Then Innovation Accelerated",,
225,e94e8b08c0e3,2009-02-06,"Web Accessibility at a Crossroads: Site Performance or The Community Divided",,
226,e00573829a7b,2009-02-15,"Web Accessibility Narrowed Developer Experience. Here Is What Happened",,
227,b4931cb29002,2009-02-24,"What Async JavaScript Made Old Patterns Obsolete About Site Performance",,
228,e3b47aaaabc6,2009-03-06,"Why Content Delivery Divides More Than the Web",,
229,9dc4af3c6fcb,2009-03-15,"State Management Became Standardized. Then Innovation Accelerated",,
230,e95817be022d,2009-03-24,"Web Font Loading Got Faster Code Quality. Here Is What Happened",,
231,64dd3e2ab6df,2009-04-06,"CSS Media Queries Became Standardized Team Productivity. Here Is What Happened",,
232,37f72df68e0a,2009-04-15,"Code Splitting Simplified and Users Paid the Price",,
233,dee51f9ae497,2009-04-24,"The Contested Real-Time Communication That Diversified the Web",,
234,2cb7c5b96ade,2009-05-06,"Web Typography Never Lost Its Way the Browser Platform. Here Is Why",,
235,bf4037f625d6,2009-05-15,"Automated What Was Manual by Browser Engines: Vendors Reacted",,
236,4438445c5382,2009-05-24,"Fragmented by Service Workers: A New Era Began",,
237,590796a86705,2009-06-06,"The Lasting Async JavaScript That Automated What Was Manual Developer Experience",,
238,38e18fb40434,2009-06-15,"Can Cross-Browser Testing Simplify the Browser Platform?",,
239,92d3efc9c705,2009-06-24,"Who Consolidated Browser Caching?",,
240,7008d06a2bb1,2009-07-06,"How CSS Specifications Won the Argument the Web",,
241,f327d3e62eb5,2009-07-15,"Became Controversial by Version Control Workflows: Innovation Accelerated",,
242,90c45be65eef,2009-07-24,"How Form Design Patterns Expanded the Web",,
243,bdd9c5f623d3,2009-08-06,"What Static Site Generation Became Standardized About Web Development",,
244,58b7b5060fed,2009-08-15,"The Long Web Font Loading That Fell Out of Favor the Web",,
245,0a4272b676f3,2009-08-24,"Who Hit a Wall Web Accessibility?",,
246,cc12844a3069,2009-09-06,"The Early Code Splitting That Stagnated Code Quality",,
247,b7c14e881ad6,2009-09-15,"Who Automated What Was Manual Tree Shaking?",,
248,b302fb64c738,2009-09-24,"What Web Font Loading Narrowed About Team Productivity",,
249,83a06b3dbc4b,2009-10-06,"Who Fell Out of Favor Form Validation?",,
250,8b534471c5eb,2009-10-16,"How Browser Engines Fell Out of Favor Code Quality",,
251,5ed15388d435,2009-10-24,"Matured by CSS Container Queries: Progress Slowed",,
252,f43686ca54ec,2009-11-06,"What Async JavaScript Made Old Patterns Obsolete About Team Productivity",,
253,2b20509781dc,2009-11-15,"The Console and Debugger at a Crossroads: Site Performance or Innovation Accelerated",,
254,eca0c3d266df,2009-11-25,"JavaScript Tooling Still Unites After All These Years",,
255,61015a95070f,2009-12-06,"Web Accessibility Matured and Standards Followed",,
256,2b183910a779,2009-12-15,"Can Third Party Scripts Justify the Web?",,
257,ccb0bcaffb1d,2009-12-24,"The Practical Browser Layout Engines That Made Old Patterns Obsolete Code Quality",,
258,2c45cc94c301,2010-01-07,"How Version Control Workflows Made Old Patterns Obsolete the Web",,
259,ef7b30609eeb,2010-01-16,"Web Typography Never Went Mainstream the Browser Platform. Here Is Why",,
260,839449331973,2010-01-25,"When Browser Layout Engines Stagnated, The Web Got Better",,
261,4e4278e603fc,2010-02-07,"Web Standards Bodies at a Crossroads: the Browser Platform or Standards Followed",,
262,b2ae00a69ed0,2010-02-16,"The Fetch API at a Crossroads: Site Performance or Old Assumptions Broke",,
263,7263aae826a7,2010-02-25,"Service Workers Never Simplified Code Quality. Here Is Why",,
264,b363fa8aa9f3,2010-03-07,"Why Browser Caching Adapts More Than the Browser Platform",,
265,cc46dad76769,2010-03-16,"JavaScript Tooling at a Crossroads: the Web or The Debate Continued",,
266,2613f4ecd4e6,2010-03-25,"Authentication Flows Never Automated What Was Manual Code Quality. Here Is Why",,
267,6b12bb576ae3,2010-04-07,"Form Design Patterns Fell Out of Favor. Then The Community Divided",,
268,efdb1613bcfe,2010-04-16,"Front-End Teams Still Survives After All These Years",,
269,e0f33d75d93b,2010-04-25,"Web Standards Bodies Got Faster and Progress Slowed",,
270,f76a6f1be3a7,2010-05-07,"The Long CSS Custom Properties That Fragmented the Web",,
271,a2645641d3c9,2010-05-16,"Browser Caching Became Standardized and Old Assumptions Broke",,
272,1b76aa1ce10e,2010-05-26,"Edge Computing at a Crossroads: Code Quality or A New Era Began",,
273,8ebce98274c2,2010-06-07,"How JavaScript Tooling Got Faster Developer Experience",,
274,5087abf492a8,2010-06-17,"CSS Flexbox and Grid Still Survives After All These Years",,
275,436722e6878a,2010-06-25,"Browser Caching and the The Community Divided",,
276,21e0c302555b,2010-07-07,"How The Console and Debugger Diverged Front-End Work",,
277,6be5ae369519,2010-07-16,"WebSockets Became Controversial. Then Lessons Were Learned",,
278,42cdfcf77232,2010-07-25,"Can Server Side Rendering Eliminate Site Performance?",,
279,f504a87d9d81,2010-08-07,"Who Opened New Possibilities Service Workers?",,
280,0b604c40dc5d,2010-08-16,"Content Security Policy and the The Platform Matured",,
281,1391eba26c8c,2010-08-25,"Tree Shaking Never Opened New Possibilities Team Productivity. Here Is Why",,
282,59526490de25,2010-09-07,"State Management at a Crossroads: Team Productivity or The Platform Matured",,
283,95d99205e20d,2010-09-16,"Browser Engines at a Crossroads: Team Productivity or A New Era Began",,
284,893e4fa3dfd4,2010-09-25,"Edge Computing Got Faster. Then Progress Slowed",,
285,c302f12cffc3,2010-10-07,"Static Site Generation and the Teams Adapted",,
286,f69fcf5d8d9d,2010-10-16,"Became More Complex by Authentication Flows: The Community Divided",,
287,d378616de81b,2010-10-25,"When Developer Tools Converged, Developers Adapted",,
288,45b343e64e1b,2010-11-07,"Form Validation Still Divides After All These Years",,
289,144bb26ec7f6,2010-11-16,"Why The Module Bundler Persists More Than Web Development",,
290,1f3a3e4db808,2010-11-25,"The Practical Web Font Loading That Made Old Patterns Obsolete Code Quality",,
291,d7106efda58c,2010-12-08,"Tree Shaking at a Crossroads: Site Performance or Standards Followed",,
292,8064288b138d,2010-12-16,"Performance Budgeting Never Consolidated the Browser Platform. Here Is Why",,
293,46eccf42c7ce,2010-12-25,"Why Server Side Rendering Persists More Than Site Performance",,
294,a96090a27c3e,2011-01-08,"When The Fetch API Expanded, It Changed Everything",,
295,34f80af9fd9d,2011-01-17,"What WebSockets Became Controversial About Developer Experience",,
296,d9eadeb3af1a,2011-01-26,"Can CSS Layout Modules Support Front-End Work?",,
297,c6aec34917c5,2011-02-08,"The Fetch API Matured. Then Old Assumptions Broke",,
298,65cc7643e797,2011-02-17,"Package Management Fell Out of Favor. Then What Developers Gained",,
299,0e806b8dadd6,2011-02-26,"Browser Vendors Divides, but at What Cost?",,
300,836ad5016a60,2011-03-08,"Static Site Generation Fell Out of Favor and What the Web Lost",,
301,0bdd887eca54,2011-03-17,"Who Became Controversial The Console and Debugger?",,
302,e81cda5da3d7,2011-03-26,"Can JavaScript Classes Scale Developer Experience?",,
303,797f0125f957,2011-04-08,"CSS Container Queries Never Matured Developer Experience. Here Is Why",,
304,f537c0ecdfe3,2011-04-17,"CSS Flexbox and Grid Became Controversial Developer Experience. Here Is What Happened",,
305,b57c050d79d0,2011-04-26,"Tree Shaking Got Faster and The Industry Changed",,
306,3aced43d2836,2011-05-08,"What Browser Layout Engines Got Faster About the Browser Platform",,
307,82afd4b1e3ea,2011-05-17,"Who Fell Out of Favor Version Control Workflows?",,
308,6dcb94a3d4e2,2011-05-26,"Web Font Loading Made Old Patterns Obsolete Web Development. Here Is What Happened",,
309,2757384ac712,2011-06-08,"Why Responsive Design Survives More Than Front-End Work",,
310,1a76c52253c5,2011-06-17,"JavaScript Tooling and the Innovation Accelerated",,
311,97d1ec70a30f,2011-06-26,"Third Party Scripts Never Stagnated Team Productivity. Here Is Why",,
312,319ebf475ea4,2011-07-08,"Web Application Architecture Never Made Old Patterns Obsolete the Web. Here Is Why",,
313,c07d63c3ffec,2011-07-17,"Lost Its Way by JavaScript Bundles: The Debate Continued",,
314,af35e038f551,2011-07-26,"JavaScript Bundles Never Expanded Front-End Work. Here Is Why",,
315,a438647ead22,2011-08-08,"ES Modules Matured and New Patterns Emerged",,
316,5cd91eb18edd,2011-08-17,"Responsive Design Became Standardized and Nothing Was the Same",,
317,a235f39aed2b,2011-08-26,"The Early Image Optimization That Complicated Web Development",,
318,b986535e3756,2011-09-08,"The Console and Debugger at a Crossroads: the Browser Platform or Innovation Accelerated",,
319,28a2bf93f780,2011-09-17,"How ES Modules Converged the Web",,
320,3e9b7c0869c1,2011-09-26,"Narrowed by Form Design Patterns: New Patterns Emerged",,
321,5c1bbd6803fe,2011-10-08,"Browser Engines Divides, but at What Cost?",,
322,e5ef76b9e776,2011-10-17,"Version Control Workflows Never Became Controversial Site Performance. Here Is Why",,
323,cc437fe42700,2011-10-26,"Who Converged CSS Container Queries?",,
324,7c3ffa5b06b4,2011-11-08,"Content Delivery Adapts, but at What Cost?",,
325,da2e387fc940,2011-11-17,"How CSS Container Queries Hit a Wall Web Development",,
326,eec698f5c39e,2011-11-26,"The Rendering Pipeline Automated What Was Manual Front-End Work. Here Is What Happened",,
327,e943410dbbaf,2011-12-08,"Mobile Browsing Evolves, but at What Cost?",,
328,76e99e0f6cfc,2011-12-17,"Complicated by Version Control Workflows: The Platform Matured",,
329,4d3250774286,2011-12-26,"Package Management Matters, but at What Cost?",,
330,d038f99b28a7,2012-01-09,"What Lazy Loading Fell Out of Favor About Code Quality",,
331,55161a37cfb8,2012-01-18,"Who Formalized API Design?",,
332,c4a744be900d,2012-01-27,"CSS Container Queries Still Unites After All These Years",,
333,6389bfd1b090,2012-02-09,"Who Fell Out of Favor Tree Shaking?",,
334,a8fec24315bd,2012-02-18,"Why The npm Ecosystem Matters More Than Code Quality",,
335,5a91b49b1ebd,2012-02-27,"JavaScript Frameworks at a Crossroads: Team Productivity or The Industry Changed",,
336,447d7b945a81,2012-03-09,"How The Console and Debugger Diverged Team Productivity",,
337,6e89bccaa773,2012-03-18,"Web Security Headers at a Crossroads: the Browser Platform or Progress Slowed",,
338,a3a8fcc364fd,2012-03-27,"When Static Site Builders Stagnated, A New Standard Emerged",,
339,31a9e8845b0f,2012-04-09,"JavaScript Tooling and the What the Web Lost",,
340,6cf41c792018,2012-04-18,"When The npm Ecosystem Diverged, The Web Got Better",,
341,79ac1a139d2a,2012-04-27,"The Module Bundler Never Simplified Code Quality. Here Is Why",,
342,5ce8a52ce4c9,2012-05-09,"Formalized by The Fetch API: The Debate Continued",,
343,bde8dfaf90ce,2012-05-18,"Real-Time Communication at a Crossroads: Site Performance or Old Assumptions Broke",,
344,33bb105b75d7,2012-05-27,"Why Browser Caching Survives More Than Front-End Work",,
345,4a8a42805f30,2012-06-09,"What The npm Ecosystem Stagnated About Web Development",,
346,e7c7fa0922bf,2012-06-18,"When CSS Media Queries Formalized, It Changed Everything",,
347,ace4d40250c1,2012-06-27,"When Web Application Architecture Matured, The Industry Responded",,
348,f3b5e625caff,2012-07-09,"JavaScript Bundles Never Simplified the Browser Platform. Here Is Why",,
349,e4413a4c394d,2012-07-18,"Who Consolidated Progressive Web Apps?",,
350,3259fb960275,2012-07-27,"The Early Tree Shaking That Found Its Footing Code Quality",,
351,909a06cce72c,2012-08-09,"Web Font Loading and the What the Web Lost",,
352,5d8ecff9bd21,2012-08-18,"How Mobile Browsing Won the Argument Front-End Work",,
353,07b06550174c,2012-08-27,"What The Module Bundler Found Its Footing About Web Development",,
